studentId,Predmet,BrojKredita,Ocjena,PolozioDatum,Godina,SkolskaGodina,Semestar,Priznat,datum_upisa,Spol,ZavrsenaSkolaId,Srednja_skola,opstina_rodjenja,GodinaZavrsetka,datum_diplomiranja,nacin_studiranja,opstina_prebivalista
16574,P-175,7,6,1. listopada 2019.,1,2020/2021,1,True,7. studenog 2018.,M,2,Elektrotehnièka,Jablanica,2013/2014,,DL,Mostar
16574,P-176,7,6,1. listopada 2019.,1,2020/2021,2,True,7. studenog 2018.,M,2,Elektrotehnièka,Jablanica,2013/2014,,DL,Mostar
16413,P-177,7,8,4. rujna 2020.,2,2019/2020,3,False,18. srpnja 2018.,,1,Gimnazija,Gornji Vakuf,2014/15,,DL,Gornji Vakuf - Uskoplje
16574,P-177,7,8,15. rujna 2022.,2,2020/2021,3,False,7. studenog 2018.,M,2,Elektrotehnièka,Jablanica,2013/2014,,DL,Mostar
16503,P-177,7,6,21. sijeènja 2020.,2,2019/2020,3,False,21. srpnja 2018.,M,1,Gimnazija,Banja Luka,1999/2000,,DL,Sarajevo - Novi grad
16574,P-150,7,8,28. oujka 2023.,3,2021/2022,5,False,7. studenog 2018.,M,2,Elektrotehnièka,Jablanica,2013/2014,,DL,Mostar
16503,P-150,7,10,21. veljaèe 2023.,3,2020/2021,5,False,21. srpnja 2018.,M,1,Gimnazija,Banja Luka,1999/2000,,DL,Sarajevo - Novi grad
16414,P-177,7,7,1. rujna 2022.,2,2019/2020,3,False,19. srpnja 2018.,M,2,Elektrotehnièka,Gorade,2014/15,,DL,Sarajevo
16401,P-177,7,6,18. veljaèe 2021.,2,2019/2020,3,False,19. srpnja 2018.,M,2,Elektrotehnièka,Mostar,2015/16,,DL,Mostar
16408,P-177,7,6,17. veljaèe 2022.,2,2019/2020,3,False,19. srpnja 2018.,,1,Gimnazija,Sanski Most,2016/2017,,DL,Sanski Most
16409,P-177,7,6,11. sijeènja 2023.,2,2019/2020,3,False,19. srpnja 2018.,M,3,Mainska,Tuzla,2014/15,,DL,Lukavac
16401,P-150,7,9,31. listopada 2022.,3,2020/2021,5,False,19. srpnja 2018.,M,2,Elektrotehnièka,Mostar,2015/16,,DL,Mostar
16401,P-157,7,7,20. veljaèe 2023.,3,2020/2021,6,False,19. srpnja 2018.,M,2,Elektrotehnièka,Mostar,2015/16,,DL,Mostar
