studentId;Predmet;BrojKredita;Ocjena;PolozioDatum;Godina;SkolskaGodina;Semestar;Priznat;datum_upisa;Spol;ZavrsenaSkolaId;Srednja_skola;opstina_rodjenja;GodinaZavrsetka;datum_diplomiranja;nacin_studiranja;opstina_prebivalista
16322;P-218;5;7;;1;2018/2019;1;FALSE;17. srpnja 2018.;M;3;Mašinska;Mostar;2017/2018;;Redovan samofinansirajuæi;Mostar
16460;P-50;6;9;;3;2020/2021;5;FALSE;20. srpnja 2018.;M;23;Mješovita srednja škola;Travnik;2017/2018;;Redovan samofinansirajuæi;Travnik
16345;P-50;6;9;;3;2020/2021;5;FALSE;18. srpnja 2018.;Ž;13;Tehnièka;Bugojno;2017/2018;;Redovan samofinansirajuæi;Donji Vakuf
16510;P-50;6;9;;3;2020/2021;5;FALSE;24. rujna 2018.;Ž;1;Gimnazija;Kakanj;2017/2018;;Redovan samofinansirajuæi;Kakanj
16471;P-50;6;8;;3;2020/2021;5;FALSE;23. kolovoza 2018.;M;18;Medresa;Bihaæ;2017/18;;Redovan samofinansirajuæi;Bihaæ
16388;P-50;6;9;;3;2020/2021;5;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Zenica;2017/18;;Redovan samofinansirajuæi;Zavidoviæi
16423;P-50;6;9;;3;2020/2021;5;FALSE;19. srpnja 2018.;Ž;1;Gimnazija;Mostar;2017/18;;Redovan samofinansirajuæi;Mostar
16501;P-50;6;9;;3;2020/2021;5;FALSE;21. srpnja 2018.;Ž;1;Gimnazija;Travnik;2017/2018;;Redovan samofinansirajuæi;Jajce
16391;P-50;6;9;;3;2020/2021;5;FALSE;19. srpnja 2018.;M;2;Elektrotehnièka;Bugojno;2017/18;;DL;Bugojno
16586;P-142;7;7;1. listopada 2018.;1;2018/19;1;TRUE;14. studenog 2018.;M;2;Elektrotehnièka;Sarajevo - Centar;2000/2001;;DL;Sarajevo-Novo Sarajevo
16586;P-143;2;6;1. listopada 2018.;1;2018/19;1;TRUE;14. studenog 2018.;M;2;Elektrotehnièka;Sarajevo - Centar;2000/2001;;DL;Sarajevo-Novo Sarajevo
16574;P-220;7;6;1. listopada 2019.;1;2020/2021;1;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16574;P-246;4;9;1. listopada 2019.;1;2020/2021;1;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16574;P-12;3;8;1. listopada 2019.;1;2020/2021;2;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16574;P-219;7;8;1. listopada 2019.;1;2020/2021;1;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16574;P-221;6;6;1. listopada 2019.;1;2020/2021;2;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16574;P-58;5;6;1. listopada 2019.;1;2020/2021;2;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16574;P-175;7;6;1. listopada 2019.;1;2020/2021;1;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
16574;P-176;7;6;1. listopada 2019.;1;2020/2021;2;TRUE;7. studenog 2018.;M;2;Elektrotehnièka;Jablanica;2013/2014;;DL;Mostar
